Bydel,Køn,Aldersgruppe,Personer,Brutto,Kategori
Nørrebro,Mænd,30-64 ,1340,500.000-599.999 kr.,8
Nørrebro,Mænd,30-64 ,567,600.000-699.999 kr.,9
Nørrebro,Mænd,30-64 ,676,700.000 kr. og derover,10
Nørrebro,Mænd,65 og derover,35,-49.999 kr.,1
Nørrebro,Mænd,65 og derover,108,50.000-99.999 kr.,2
Nørrebro,Mænd,65 og derover,544,100.000-149.999 kr.,3
Nørrebro,Mænd,65 og derover,959,150.000-199.999 kr.,4
Nørrebro,Mænd,65 og derover,406,200.000-299.999 kr.,5
Nørrebro,Mænd,65 og derover,173,300.000-399.999 kr.,6
Nørrebro,Mænd,65 og derover,95,400.000-499.999 kr.,7
Nørrebro,Mænd,65 og derover,42,500.000-599.999 kr.,8
Nørrebro,Mænd,65 og derover,23,600.000-699.999 kr.,9
Nørrebro,Mænd,65 og derover,29,700.000 kr. og derover,10
Nørrebro,Kvinder,15-19 ,1144,-49.999 kr.,1
Nørrebro,Kvinder,15-19 ,222,50.000-99.999 kr.,2
Nørrebro,Kvinder,15-19 ,88,100.000-149.999 kr.,3
Nørrebro,Kvinder,15-19 ,24,150.000-199.999 kr.,4
Nørrebro,Kvinder,15-19 ,4,200.000-299.999 kr.,5
Nørrebro,Kvinder,15-19 ,1,300.000-399.999 kr.,6
Nørrebro,Kvinder,15-19 ,1,700.000 kr. og derover,10
Nørrebro,Kvinder,20-29 ,869,-49.999 kr.,1
Nørrebro,Kvinder,20-29 ,2531,50.000-99.999 kr.,2
Nørrebro,Kvinder,20-29 ,3470,100.000-149.999 kr.,3
Nørrebro,Kvinder,20-29 ,2796,150.000-199.999 kr.,4
Nørrebro,Kvinder,20-29 ,1996,200.000-299.999 kr.,5
Nørrebro,Kvinder,20-29 ,1379,300.000-399.999 kr.,6
Nørrebro,Kvinder,20-29 ,370,400.000-499.999 kr.,7
Nørrebro,Kvinder,20-29 ,90,500.000-599.999 kr.,8
Nørrebro,Kvinder,20-29 ,14,600.000-699.999 kr.,9
Nørrebro,Kvinder,20-29 ,9,700.000 kr. og derover,10
Nørrebro,Kvinder,30-64 ,837,-49.999 kr.,1
Nørrebro,Kvinder,30-64 ,624,50.000-99.999 kr.,2
Nørrebro,Kvinder,30-64 ,1630,100.000-149.999 kr.,3
Nørrebro,Kvinder,30-64 ,2302,150.000-199.999 kr.,4
Nørrebro,Kvinder,30-64 ,3019,200.000-299.999 kr.,5
